2007-01-19,1,34,54,0,0,0,6.93,270,17,260,23.04,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
2007-01-21,1,28,35.1,0.8,0,0,5.82,90,12.97,90,17,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No
2007-01-25,1,30.9,46.9,0,0,0,6.49,290,19.91,310,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-02-05,1,19.9,39.9,0,0,0,7.83,270,17.9,280,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-02-08,1,27,48,0,0,0,3.13,300,14.99,280,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-02-09,1,21.9,42.1,0,0,0,3.36,360,14.09,10,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-02-26,1,41,61,0,0,0,2.46,210,8.95,230,12.08,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-03-04,1,34,50,0,0,0,6.93,280,17,280,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-03-05,1,26.1,64,0,0,0,8.5,240,21.92,240,29.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-03-17,1,33.1,48.9,0,0,0,7.38,330,19.91,330,29.08,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-03-18,1,28,48.9,0,0,0,4.25,240,14.09,350,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-04-05,1,41,57.9,0,0,0,3.58,310,14.99,320,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-04-06,1,30,57,0.01,0,0,2.46,360,16.11,290,25.95,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-04-11,1,46,59,0.73,0,0,6.49,140,17.9,150,25.05,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No
2007-04-17,1,46.9,72,0,0,0,7.61,360,19.91,320,29.08,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-04-19,1,44.1,57.9,0.04,0,0,4.47,90,12.97,90,16.11,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-04-23,1,52,82.9,0,0,0,11.41,230,21.92,240,25.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-04-27,1,63,82.9,0.25,0,0,11.18,220,21.03,230,23.94,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-04-28,1,59,75.9,0,0,0,6.71,270,16.11,290,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-04-29,1,53.1,80.1,0,0,0,6.49,300,17.9,290,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-05-02,1,63,90,0,0,0,8.72,230,14.99,230,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-05-03,1,57,71.1,0,0,0,9.62,80,17,50,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-05-05,1,55,66,0.01,0,0,2.68,320,6.93,90,8.95,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
2007-05-07,1,42.1,70,0,0,0,12.53,50,25.05,40,31.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-05-08,1,50,69.1,0.04,0,0,11.41,40,17.9,40,23.94,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
2007-05-16,1,62.1,84,0.02,0,0,13.87,230,23.94,230,29.08,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
2007-05-18,1,48.9,70,0,0,0,7.83,30,16.11,40,21.92,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-05-25,1,55.9,86,0,0,0,4.92,240,12.97,220,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-06-14,1,60.1,70,0.01,0,0,6.71,80,14.99,80,17,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-06-22,1,62.1,91,0.13,0,0,4.25,30,19.91,30,25.05,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
2007-06-24,1,66.9,89.1,0.31,0,0,5.37,260,14.99,260,19.91,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
2007-06-27,1,69.1,93,0,0,0,7.38,230,21.03,220,23.94,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
2007-06-28,1,73,93.9,0,0,0,9.17,190,17.9,200,23.04,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
2007-07-01,1,66,86,0,0,0,6.93,30,17,70,21.92,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-07-03,1,63,86,0,0,0,6.93,180,12.97,180,17,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
2007-07-04,1,64.9,89.1,0,0,0,9.17,200,16.11,210,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-07-15,1,66.9,90,0,0,0,7.38,230,14.99,230,17.9,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
2007-07-16,1,70,91.9,0,0,0,8.05,230,16.11,210,19.91,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
2007-07-22,1,57.9,84.9,0,0,0,5.14,50,17.9,50,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2007-07-29,1,66.9,89.1,0,0,0,4.25,160,16.11,150,19.91,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
